locality,metal,lat,lon
Alihoca,Copper,37.54819869995117,34.482601165771484
Bakir Daği,Copper,39.089942932128906,35.56914138793945
Bolkardağ,Silver,37.54819869995117,34.482601165771484
Bolkardağ,Copper,37.54819869995117,34.482601165771484
Çağşak,Copper,40.5526008605957,34.948699951171875
Çamlibel Tarlasi,Copper,40.02180099487305,34.5968017578125
Derealan,Copper,40.86173629760742,35.45878601074219
Derekutuğun,Copper,40.644100189208984,34.257999420166016
Gümüş,Silver,40.8760986328125,35.217498779296875
Hisarcik,Tin,38.722293853759766,35.48863220214844
Kestel,Gold,37.83369827270508,34.984901428222656
Küre,Copper,41.369998931884766,33.740299224853516
Menteşe,Copper,39.089942932128906,35.56914138793945
Ömerliköy,Silver,37.422306060791016,34.872283935546875
Pinarbaşi Boğaz,Silver,37.83369827270508,34.984901428222656
Tohumlar,Copper,39.55400848388672,33.124794006347656
