locality,metal,lat,lon
Alihoca,Copper,37.54819869995117,34.482601165771484
Bakir Daği,Copper,39.089942932128906,35.56914138793945
Bolkardağ,Silver,37.54819869995117,34.482601165771484
Bolkardağ,Copper,37.54819869995117,34.482601165771484
Camli,Copper,40.1708984375,38.084598541259766
Çağşak,Copper,40.5526008605957,34.948699951171875
Çamlibel Tarlasi,Copper,40.02180099487305,34.5968017578125
Derealan,Copper,40.86173629760742,35.45878601074219
Derekutuğun,Copper,40.644100189208984,34.257999420166016
Gölcük,Copper,40.294517517089844,37.83485794067383
Görgüköy (Cafana),Silver,38.297698974609375,38.25429916381836
Gümüş,Silver,40.8760986328125,35.217498779296875
Hisarcik,Tin,38.722293853759766,35.48863220214844
Kestel,Gold,37.83369827270508,34.984901428222656
Kisecik,Copper,36.19889831542969,36.15890121459961
Kisecik,Gold,36.19889831542969,36.15890121459961
Kozlu,Copper,40.672943115234375,36.56624984741211
Küre,Copper,41.369998931884766,33.740299224853516
Madenköy,Copper,39.855140686035156,37.38682556152344
Maltepeköy (Hornovil),Copper,39.367401123046875,38.106201171875
Menteşe,Copper,39.089942932128906,35.56914138793945
Ömerliköy,Silver,37.422306060791016,34.872283935546875
Pinarbaşi Boğaz,Silver,37.83369827270508,34.984901428222656
Polusaği,Copper,38.19919967651367,38.862998962402344
Süğüt,Copper,36.799381256103516,36.52909851074219
Tohumlar,Copper,39.55400848388672,33.124794006347656
